id,name,key,new_name,new_key
4c7525da-83fd-4345-8fc7-0c462cf801d4,Energy Motivation.mp3,medeo/resource/music/pixabay-bgm/Energy Motivation.mp3,Energy Motivation,medeo/resource/music/pixabay-bgm/4c7525da-83fd-4345-8fc7-0c462cf801d4.mp3
1ec7511d-48c3-400e-8875-156b696cf3bd,Winding Roads Ahead.mp3,medeo/resource/music/pixabay-bgm/Winding Roads Ahead.mp3,Winding Roads Ahead,medeo/resource/music/pixabay-bgm/1ec7511d-48c3-400e-8875-156b696cf3bd.mp3
02db8ab6-87ed-4870-a81b-7c43690bb5f8,Upbeat Happy Folk.mp3,medeo/resource/music/pixabay-bgm/Upbeat Happy Folk.mp3,Upbeat Happy Folk,medeo/resource/music/pixabay-bgm/02db8ab6-87ed-4870-a81b-7c43690bb5f8.mp3
47d31a0c-3a99-490e-82d3-5d2d683f2b3e,Rite Of Labor.mp3,medeo/resource/music/pixabay-bgm/Rite Of Labor.mp3,Rite Of Labor,medeo/resource/music/pixabay-bgm/47d31a0c-3a99-490e-82d3-5d2d683f2b3e.mp3
ee5768e5-f0c7-4981-83cd-9c46396bfe3c,Perfect dark170 fmin.mp3,medeo/resource/music/pixabay-bgm/Perfect dark170 fmin.mp3,Perfect dark170 fmin,medeo/resource/music/pixabay-bgm/ee5768e5-f0c7-4981-83cd-9c46396bfe3c.mp3
31874de0-7b6f-43dd-94ed-6dc064dda9e6,Maze (85bpm) fslashm.mp3,medeo/resource/music/pixabay-bgm/Maze (85bpm) fslashm.mp3,Maze (85bpm) fslashm,medeo/resource/music/pixabay-bgm/31874de0-7b6f-43dd-94ed-6dc064dda9e6.mp3
2d024881-03a0-4cca-ac66-9488919e9a5d,LoasdRecords.mp3,medeo/resource/music/pixabay-bgm/LoasdRecords.mp3,LoasdRecords,medeo/resource/music/pixabay-bgm/2d024881-03a0-4cca-ac66-9488919e9a5d.mp3
a2d11a40-aadd-4c9c-97d4-d7156a4ddf07,Chillout 75.mp3,medeo/resource/music/pixabay-bgm/Chillout 75.mp3,Chillout 75,medeo/resource/music/pixabay-bgm/a2d11a40-aadd-4c9c-97d4-d7156a4ddf07.mp3
08f766b8-5e44-4e07-9a36-0cd18257a45c,00_officina zanchi_synt bells.mp3,medeo/resource/music/pixabay-bgm/00_officina zanchi_synt bells.mp3,00_officina zanchi_synt bells,medeo/resource/music/pixabay-bgm/08f766b8-5e44-4e07-9a36-0cd18257a45c.mp3
76b67f4e-73ac-4029-b2b2-b3c5a7d7968d,Coroa do Advento.mp3,medeo/resource/music/pixabay-bgm/Coroa do Advento.mp3,Coroa do Advento,medeo/resource/music/pixabay-bgm/76b67f4e-73ac-4029-b2b2-b3c5a7d7968d.mp3
80f1ba8f-a298-457a-ba77-9996d386811b,holiday hunting.mp3,medeo/resource/music/pixabay-bgm/holiday hunting.mp3,holiday hunting,medeo/resource/music/pixabay-bgm/80f1ba8f-a298-457a-ba77-9996d386811b.mp3
04940447-6399-4031-8128-c9e697c998f7,The Great Mystery.mp3,medeo/resource/music/pixabay-bgm/The Great Mystery.mp3,The Great Mystery,medeo/resource/music/pixabay-bgm/04940447-6399-4031-8128-c9e697c998f7.mp3
f31a21c3-eb7b-4cd1-bd28-9ed6baf9c504,Sunshine And Flowers.mp3,medeo/resource/music/pixabay-bgm/Sunshine And Flowers.mp3,Sunshine And Flowers,medeo/resource/music/pixabay-bgm/f31a21c3-eb7b-4cd1-bd28-9ed6baf9c504.mp3
